city,extent,socio_variable_used,ses_quintile,n_cells,q25_accessibility_C,median_accessibility_C,q75_accessibility_C
dublin,core,wealth_index,Q1,22,89437.42369070965,104673.28695975679,111280.67145931668
dublin,core,wealth_index,Q2,21,26671.375958195124,32816.78930147951,48502.85776054403
dublin,core,wealth_index,Q3,22,6192.514069001321,9357.040327125156,21707.41795625953
dublin,core,wealth_index,Q4,21,4308.240822642103,7632.891909399353,14840.237384513375
dublin,core,wealth_index,Q5,22,2300.0208132223133,4302.984642031721,7712.7781836684335
dublin,extended,wealth_index,Q1,150,72885.38346284037,132240.09895887718,182040.51604652096
dublin,extended,wealth_index,Q2,150,859.5206949046719,6999.69182705568,25129.505316546645
dublin,extended,wealth_index,Q3,150,61.068609850004805,1323.281782584132,3587.863800394157
dublin,extended,wealth_index,Q4,150,132.3537119849898,833.9893041724223,2719.4138221733847
dublin,extended,wealth_index,Q5,150,51.00151588471318,488.73990667085684,2223.078856033052
paris,core,income_median,Q1,162,1358768.9234086801,1755572.8871701322,2086799.476687268
paris,core,income_median,Q2,162,144170.60787603227,297411.849141808,482277.63189517386
paris,core,income_median,Q3,161,18789.02191048848,43303.33284702612,91010.74606039404
paris,core,income_median,Q4,162,12432.924623929071,115576.64036719491,261444.4704591923
paris,core,income_median,Q5,162,3463.683184636795,7951.100398464991,26309.324073361266
paris,extended,income_median,Q1,2289,30837.16720321325,284169.2150108026,1225220.9473936975
paris,extended,income_median,Q2,2288,155.4223158894546,1260.0654908039508,11877.727421438589
paris,extended,income_median,Q3,2288,18.2683118820793,149.8750552865524,1108.8577766433298
paris,extended,income_median,Q4,2288,10.097212758656774,61.6128511654709,347.2886840797221
paris,extended,income_median,Q5,2288,7.1341909769450575,32.771810470583404,298.1607056546517
warsaw,core,wealth_index,Q1,83,169184.35340452002,202167.52738488163,272066.9021167359
warsaw,core,wealth_index,Q2,82,30676.867547919726,47910.04259885028,61682.16827391538
warsaw,core,wealth_index,Q3,83,11714.274481604012,16703.297067922253,27761.745480996913
warsaw,core,wealth_index,Q4,82,10607.969606540537,18273.410394821858,25334.87181185838
warsaw,core,wealth_index,Q5,83,8621.19685692932,17898.461112114725,28539.627896606646
warsaw,extended,wealth_index,Q1,87,231259.6758719433,288337.0365451518,415221.00584932463
warsaw,extended,wealth_index,Q2,86,46226.55520059502,68080.72846014699,90818.26221362413
warsaw,extended,wealth_index,Q3,86,16596.96853747432,23252.797302821007,37734.53730253614
warsaw,extended,wealth_index,Q4,86,16199.498983058698,25370.869723425632,38856.53849471802
warsaw,extended,wealth_index,Q5,86,13657.87007488475,27380.998780908183,43893.828816750356
