city_variant,city,extent,model,model_name,beta_param,solver_mode,ipf_converged,ipf_iterations,ipf_marginal_err_p95,ipf_marginal_err_wmean,ipf_marginal_err_max,qa_ipf_converged,qa_iterations_nonneg,qa_err_p95_nonneg,qa_err_wmean_nonneg
dublin_core,dublin,core,A,Model A (beta = 0.03),0.03,doubly_constrained,True,20,1.6279279205851857e-05,1.6252060853631805e-05,0.0637642927124451,True,True,True,True
dublin_core,dublin,core,B,Model B (beta = 0.15),0.15,doubly_constrained,True,20,0.00020502672733839608,5.051546667424748e-05,0.16270564482523323,True,True,True,True
dublin_core,dublin,core,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained,True,20,1.6768170842610993e-05,1.6406467236830936e-05,0.06642442751478976,True,True,True,True
dublin_extended,dublin,extended,A,Model A (beta = 0.03),0.03,doubly_constrained,True,20,0.015374378606532266,0.0004263261753024292,0.1269281022241571,True,True,True,True
dublin_extended,dublin,extended,B,Model B (beta = 0.15),0.15,doubly_constrained,True,80,0.00921534152901949,0.00044031777808010986,0.28671511597235894,True,True,True,True
dublin_extended,dublin,extended,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained,True,40,0.007752681120114433,0.0002924854526871034,0.12609513846824716,True,True,True,True
paris_core,paris,core,A,Model A (beta = 0.03),0.03,doubly_constrained,True,20,8.438085840886553e-06,8.339697341039816e-06,0.02658613000053561,True,True,True,True
paris_core,paris,core,B,Model B (beta = 0.15),0.15,doubly_constrained,True,20,0.0010596470524159938,0.0001495034283828753,0.011532850887202914,True,True,True,True
paris_core,paris,core,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained,True,20,1.2257071621968584e-05,8.528297910330282e-06,0.024449824729898942,True,True,True,True
paris_extended,paris,extended,A,Model A (beta = 0.03),0.03,doubly_constrained,True,20,0.0002993384945120464,0.00015034072300509403,0.27064937989852617,True,True,True,True
paris_extended,paris,extended,B,Model B (beta = 0.15),0.15,doubly_constrained_max_iter,False,1500,3707.97336655286,21659.66722583349,262058.53895116516,False,True,True,True
paris_extended,paris,extended,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained_max_iter,False,1500,564774.215847619,406421.64081333525,2086663.1586335793,False,True,True,True
warsaw_core,warsaw,core,A,Model A (beta = 0.03),0.03,doubly_constrained,True,6,0.05517063839660367,0.009400201451461273,0.1273081979845781,True,True,True,True
warsaw_core,warsaw,core,B,Model B (beta = 0.15),0.15,doubly_constrained,True,60,0.0006999520484311532,0.0006950453439804806,0.032131561683795336,True,True,True,True
warsaw_core,warsaw,core,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained,True,20,9.175982861969313e-06,2.379810006168366e-06,1.8143911674221825e-05,True,True,True,True
warsaw_extended,warsaw,extended,A,Model A (beta = 0.03),0.03,doubly_constrained,True,20,5.675783981157154e-06,5.616918244251571e-06,0.020935225801092097,True,True,True,True
warsaw_extended,warsaw,extended,B,Model B (beta = 0.15),0.15,doubly_constrained,True,20,0.00045650199735543056,9.315620941130319e-05,0.017149004755014415,True,True,True,True
warsaw_extended,warsaw,extended,C,Model C (dynamiczne beta),beta_dynamic,doubly_constrained,True,20,4.015255397796541e-06,2.6716392457795375e-06,0.00992295358630931,True,True,True,True
