Wariant,Miasto,Przestrzeń,Węzły,Krawędzie,Komponenty,Udział LCC,Śr. stopień,Gęstość,Klasteryzacja,Średnica LCC,Śr. ścieżka LCC
Core,Paryż,L-space,20609,17588,6758,0.602,1.71,0.000083,0.014,64,22.93
Core,Paryż,P-space,20609,610410,6712,0.606,59.24,0.002874,0.554,9,3.76
Core,Dublin,L-space,1998,2579,6,0.952,2.58,0.001293,0.042,52,16.11
Core,Dublin,P-space,1998,122623,5,0.952,122.75,0.061465,0.773,5,2.31
Core,Warszawa,L-space,4523,7080,9,0.967,3.13,0.000692,0.032,43,10.49
Core,Warszawa,P-space,4523,412244,6,0.967,182.29,0.040311,0.695,5,2.42
Extended,Paryż,L-space,53556,52040,17965,0.627,1.94,0.000036,0.033,64,22.18
Extended,Paryż,P-space,53556,1499240,17940,0.631,55.99,0.001045,0.537,11,4.65
Extended,Dublin,L-space,4801,6073,5,0.963,2.53,0.000527,0.044,70,20.15
Extended,Dublin,P-space,4801,462134,4,0.963,192.52,0.040107,0.760,5,2.44
Extended,Warszawa,L-space,6995,10017,7,0.963,2.86,0.000410,0.025,66,14.94
Extended,Warszawa,P-space,6995,559631,6,0.963,160.01,0.022878,0.746,5,2.73
