Wariant,Miasto,Kwintyl_L,Kwintyl_P,Udział (%),Liczba przystanków
core,Paryż,Q1,Q1,1.93,397
core,Paryż,Q2,Q1,0.59,121
core,Paryż,Q3,Q1,8.14,1677
core,Paryż,Q4,Q1,6.39,1316
core,Paryż,Q5,Q1,2.96,611
core,Paryż,Q1,Q2,6.36,1310
core,Paryż,Q2,Q2,0.9,186
core,Paryż,Q3,Q2,6.35,1308
core,Paryż,Q4,Q2,4.28,883
core,Paryż,Q5,Q2,2.11,435
core,Paryż,Q1,Q3,11.32,2333
core,Paryż,Q2,Q3,7.1,1463
core,Paryż,Q3,Q3,0.82,168
core,Paryż,Q4,Q3,0.48,98
core,Paryż,Q5,Q3,0.29,59
core,Paryż,Q1,Q4,0.21,43
core,Paryż,Q2,Q4,11.36,2342
core,Paryż,Q3,Q4,2.65,547
core,Paryż,Q4,Q4,2.99,617
core,Paryż,Q5,Q4,2.78,573
core,Paryż,Q1,Q5,0.19,39
core,Paryż,Q2,Q5,0.05,10
core,Paryż,Q3,Q5,2.04,421
core,Paryż,Q4,Q5,5.86,1208
core,Paryż,Q5,Q5,11.86,2444
core,Dublin,Q1,Q1,3.7,74
core,Dublin,Q2,Q1,6.36,127
core,Dublin,Q3,Q1,4.6,92
core,Dublin,Q4,Q1,3.4,68
core,Dublin,Q5,Q1,1.95,39
core,Dublin,Q1,Q2,6.81,136
core,Dublin,Q2,Q2,4.35,87
core,Dublin,Q3,Q2,5.41,108
core,Dublin,Q4,Q2,2.8,56
core,Dublin,Q5,Q2,0.6,12
core,Dublin,Q1,Q3,5.51,110
core,Dublin,Q2,Q3,3.6,72
core,Dublin,Q3,Q3,3.65,73
core,Dublin,Q4,Q3,4.55,91
core,Dublin,Q5,Q3,2.7,54
core,Dublin,Q1,Q4,2.5,50
core,Dublin,Q2,Q4,3.15,63
core,Dublin,Q3,Q4,3.6,72
core,Dublin,Q4,Q4,4.7,94
core,Dublin,Q5,Q4,6.01,120
core,Dublin,Q1,Q5,1.5,30
core,Dublin,Q2,Q5,2.5,50
core,Dublin,Q3,Q5,2.75,55
core,Dublin,Q4,Q5,4.5,90
core,Dublin,Q5,Q5,8.76,175
core,Warszawa,Q1,Q1,7.27,329
core,Warszawa,Q2,Q1,4.47,202
core,Warszawa,Q3,Q1,2.98,135
core,Warszawa,Q4,Q1,3.12,141
core,Warszawa,Q5,Q1,2.17,98
core,Warszawa,Q1,Q2,5.84,264
core,Warszawa,Q2,Q2,4.29,194
core,Warszawa,Q3,Q2,3.91,177
core,Warszawa,Q4,Q2,3.65,165
core,Warszawa,Q5,Q2,2.3,104
core,Warszawa,Q1,Q3,2.68,121
core,Warszawa,Q2,Q3,4.07,184
core,Warszawa,Q3,Q3,4.73,214
core,Warszawa,Q4,Q3,4.2,190
core,Warszawa,Q5,Q3,4.33,196
core,Warszawa,Q1,Q4,2.39,108
core,Warszawa,Q2,Q4,4.18,189
core,Warszawa,Q3,Q4,3.89,176
core,Warszawa,Q4,Q4,4.51,204
core,Warszawa,Q5,Q4,5.02,227
core,Warszawa,Q1,Q5,1.84,83
core,Warszawa,Q2,Q5,2.98,135
core,Warszawa,Q3,Q5,4.49,203
core,Warszawa,Q4,Q5,4.51,204
core,Warszawa,Q5,Q5,6.19,280
extended,Paryż,Q1,Q1,2.52,1347
