Wariant,Miasto,Przestrzeń,Śr. stopień,Gęstość,Klasteryzacja,Średnica LCC,Śr. ścieżka LCC
Core,Paryż,L-space,1.71,0.000083,0.014,64,22.93
Core,Paryż,P-space,59.24,0.002874,0.554,9,3.76
Core,Dublin,L-space,2.58,0.001293,0.042,52,16.11
Core,Dublin,P-space,122.75,0.061465,0.773,5,2.31
Core,Warszawa,L-space,3.13,0.000692,0.032,43,10.49
Core,Warszawa,P-space,182.29,0.040311,0.695,5,2.42
Extended,Paryż,L-space,1.94,0.000036,0.033,64,22.18
Extended,Paryż,P-space,55.99,0.001045,0.537,11,4.65
Extended,Dublin,L-space,2.53,0.000527,0.044,70,20.15
Extended,Dublin,P-space,192.52,0.040107,0.760,5,2.44
Extended,Warszawa,L-space,2.86,0.000410,0.025,66,14.94
Extended,Warszawa,P-space,160.01,0.022878,0.746,5,2.73
